media_tecnico_ano1	faltas_tecnico_ano1	situacao_tecnico_ano1	media_basico_ano1	faltas_basico_ano1	situacao_basico_ano1	media_tecnico_ano2	faltas_tecnico_ano2	situacao_tecnico_ano2	media_basico_ano2	faltas_basico_ano2	situacao_basico_ano2	media_tecnico_ano3	faltas_tecnico_ano3	situacao_tecnico_ano3	media_basico_ano3	faltas_basico_ano3	situacao_basico_ano3	media_tecnico_ano4	faltas_tecnico_ano4	situacao_tecnico_ano4	media_basico_ano4	faltas_basico_ano4	situacao_basico_ano4	permaneceu_area_ti	permaneceu_ano2	permaneceu_ano3	permaneceu_ano4
5.57	4.00	REP	6.98	3.50	APR	7.83		APR	7.55	3.00	APR	8.63	2.00	APR	8.08	2.50	APR	8.43	7.67	APR	8.185714286	5	APR		sim	sim	sim
6.68	2.00	APR	7.99	3.67	APR	8.40	3.00	APR	8.27	2.50	APR	5.80	14.00	REP	2.10	1.00	REP			INDETERMINADO			INDETERMINADO	SIM	sim	sim	não
		INDETERMINADO			INDETERMINADO	2.79	2.00	REP	5.00	15.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	9.09	2.00	APR	9.02	1.75	APR	8.46	2.00	APR	8.87	4.00	APR	9.22	6.00	APR	9.114285714		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	6.15		APR	8.28	3.00	APR	6.80	2.00	APR	7.92	10.00	APR	8.67	3.00	APR	8.357142857		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	9.66		APR	9.20	2.25	APR	8.98	4.00	APR	8.78	5.50	APR	9.00	5.33	APR	9.414285714		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	2.17	3.50	REP	3.01	9.33	REP			INDETERMINADO	7.90		APR			INDETERMINADO			INDETERMINADO		sim	não	não
		INDETERMINADO			INDETERMINADO	7.90		APR	8.89		APR	8.14		APR	8.66	5.50	APR	9.33	4.67	APR	9.042857143		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	6.66		APR	8.84		APR	7.16	6.00	APR	8.13	13.00	APR	8.97	6.00	APR	8.8		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	7.87		APR	8.49	2.67	APR	7.98	4.67	APR	8.13	15.50	APR	8.35	6.00	APR	8.342857143		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	9.25		APR	9.06	4.00	APR	8.36	4.00	APR	8.64	9.00	APR	8.97	9.33	APR	8.685714286		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	8.28	4.00	APR	8.67	1.00	APR	8.62	2.00	APR	8.70	9.00	APR	8.87	2.00	APR	9.057142857		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	7.88	2.33	APR	8.44	3.25	APR	8.36		APR	8.58	18.00	APR	8.93	6.00	APR	8.942857143		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	8.72	3.67	APR	8.29	3.67	APR	8.90	3.50	APR	8.59	10.00	APR	8.27	7.33	APR	8.571428571		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	6.37	2.00	APR	8.25	2.33	APR	7.00		APR	7.00		APR			INDETERMINADO			INDETERMINADO		sim	sim	não
		INDETERMINADO			INDETERMINADO	1.41	44.67	REP	1.68	29.80	REP			INDETERMINADO	9.80		APR			INDETERMINADO			INDETERMINADO		sim	não	não
		INDETERMINADO			INDETERMINADO	3.77	5.33	REP	7.64	6.60	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	não	não
		INDETERMINADO			INDETERMINADO	6.30	3.33	APR	7.68	4.83	APR	7.62	9.00	APR	7.92	7.50	APR	8.42	10.00	APR	8.057142857		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	8.14	3.00	APR	8.34	4.60	APR	8.10	2.00	APR	8.41	14.00	APR	8.55	5.00	APR	8.542857143		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	6.15	6.00	APR	6.77	5.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	9.49		APR	9.46	2.00	APR	9.12	3.00	APR	8.94	4.50	APR	8.93	6.33	APR	8.7		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	8.38		APR	8.60	3.33	APR	8.66	3.33	APR	8.38	15.50	APR	9.15	6.00	APR	8.628571429		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	5.57	5.00	REP	8.00	6.00	APR			INDETERMINADO	5.05		REP			INDETERMINADO			INDETERMINADO		sim	sim	não
		INDETERMINADO			INDETERMINADO	9.11		APR	8.87		APR	8.62	2.00	APR	8.59	2.50	APR	9.40	2.00	APR	8.342857143		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	8.05	4.00	APR	7.84	2.67	APR	8.12	5.33	APR	7.93	10.50	APR	8.37	6.00	APR	8.028571429		APR		sim	sim	sim
8.05		APR	8.14	5.50	APR	8.57	14.50	APR	8.33	4.33	APR	8.20	16.67	APR	7.80	15.00	APR			INDETERMINADO	9.04	14	APR	VER SE ELA JÁ SE FORMOU...	sim	sim	sim
5.05	2.00	REP	8.36	4.00	APR	8.30	25.00	APR	7.85	11.33	APR	7.85	4.00	APR	9.00	6.00	APR			INDETERMINADO			INDETERMINADO		sim	sim	não
2.50	26.00	REP	3.58	28.00	REP			INDETERMINADO			INDETERMINADO	2.75	32.00	REP	8.37	6.00	APR			INDETERMINADO			INDETERMINADO	NÃO	sim	não	não
1.40	33.00	REP	1.99	30.00	REP			INDETERMINADO			INDETERMINADO	1.60	34.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
2.50	19.00	REP	4.01	28.33	REP			INDETERMINADO			INDETERMINADO	2.25	20.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
9.40		APR	9.34	2.00	APR	9.63	17	APR	9.58	1.00	APR	9.60	2.00	APR	9.36	6.50	APR			INDETERMINADO	9.573333333	2	APR		sim	sim	não
8.80		APR	9.12	2.00	APR	9.40	5	APR	9.49		APR	9.09	2.67	APR	8.62	7.50	APR			INDETERMINADO	9.37	4	APR	SIM	sim	sim	sim
8.35	8.00	APR	7.24	8.00	APR	7.53	21.5	APR	8.05	9.00	APR	6.61	11.00	APR	7.60	11.00	APR			INDETERMINADO	7.29	20	APR		sim	sim	não
